País,# de desarrolladores,Crecimiento interanual
Singapur,>1 millón de desarrolladores,39%
India,">13,2 millones de desarrolladores",36%
Hong Kong (RAE),">1,6 millones de desarrolladores",35%
Vietnam,">1,5 millones de desarrolladores",34%
Indonesia,">2,9 millones de desarrolladores",31%
Japón,">2,8 millones de desarrolladores",31%
Filipinas,">1,3 millones de desarrolladores",31%
Tailandia,>857K desarrolladores,25%
Corea del Sur,">1,9 millones de desarrolladores",22%
Australia,">1,4 millones de desarrolladores",21%
